# started_at=2025-12-14T19:04:54+03:00
# cmd: vmstat 1
# app_pid=7559

procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 24494308 205836 2962860    0    0     0  1620 23950 36668  3  4 91  1  0
 3  0      0 24494308 205836 2962860    0    0     0  1060 22634 37618  5  4 90  1  0
 5  0      0 24494308 205836 2962860    0    0     0   632 20407 35059  5  4 90  1  0
 2  0      0 24494308 205836 2962860    0    0     0   664 18057 30210  4  4 91  1  0
 3  0      0 24494308 205836 2962860    0    0     0 10964 25521 47736 12  5 82  1  0
 2  0      0 24494308 205836 2962860    0    0     0  1984 23658 46688 11  5 83  1  0
 2  0      0 24494308 205836 2962860    0    0     0   504 23381 45410  9  4 86  1  0
 2  0      0 24494308 205836 2962860    0    0     0   760 23624 44862 11  4 84  1  0
 5  0      0 24494308 205836 2962860    0    0     0   604 20642 36805  9  3 87  1  0
 3  0      0 24494308 205836 2962860    0    0     0   656 20837 40877 10  3 87  1  0
 2  0      0 24494308 205836 2962860    0    0     0   840 24660 45154 13  5 81  1  0
 5  0      0 24494308 205836 2962860    0    0     0  1028 20924 39640 10  3 87  1  0
 6  0      0 24494308 205836 2962860    0    0     0   692 23534 45224 11  5 83  1  0
 6  0      0 24494308 205836 2962860    0    0     0   480 20161 37347  9  3 87  1  0
 3  0      0 24494308 205836 2962860    0    0   316   992 22078 39859 10  4 85  1  0
 3  0      0 24494308 205836 2962860    0    0     0   388 21651 40758 10  4 86  0  0
 2  0      0 24494308 205836 2962860    0    0    88  1176 22429 43216 12  5 83  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  1      0 24494308 205836 2962860    0    0     0  7392 27679 47616 12  4 83  1  0
 2  0      0 24494308 205836 2962860    0    0     0   428 20652 37822  9  4 87  1  0
 2  0      0 24494308 205836 2962860    0    0     0   484 20175 36946  9  4 87  1  0
 3  1      0 24494308 205836 2962860    0    0     0   876 21561 38806  8  5 86  1  0
 2  0      0 24494308 205836 2962860    0    0     0  1244 18207 31596  3  4 92  1  0
 2  0      0 24494308 205836 2962860    0    0     0  1196 21566 38153  9  4 86  1  0
 2  0      0 24494308 205836 2962860    0    0     0 51188 27565 50505 10  6 79  5  0
 3  0      0 24494308 205836 2962860    0    0     0   660 20317 35505  6  5 88  1  0
 5  0      0 24494308 205836 2962860    0    0     0  1084 25843 46898 13  5 80  2  0
 4  0      0 24494308 205836 2962860    0    0     0   556 21133 39587 10  2 87  1  0
 3  0      0 24494308 205836 2962860    0    0     0   576 38007 46698 11  7 81  1  0
 4  0      0 24494308 205836 2962860    0    0     0   776 23648 45101 10  4 85  1  0
10  1      0 24494308 205836 2962860    0    0     0   656 21919 39245 11  5 83  1  0
 6  0      0 24494308 205836 2962860    0    0     0   504 22514 39289 10  4 85  1  0
 5  0      0 24494308 205836 2962860    0    0     0   540 21658 42004 10  4 86  1  0
 2  0      0 24494308 205836 2962860    0    0     0   520 21567 39957 11  4 85  1  0
 1  0      0 24494308 205836 2962860    0    0     0   816 20240 36015  9  4 86  1  0
 4  0      0 24494308 205836 2962860    0    0     0  1764 20075 36655  9  3 88  1  0
 3  1      0 24494308 205836 2962860    0    0     0   576 21761 41465 10  4 85  1  0
 2  0      0 24494308 205836 2962860    0    0     0   456 20477 38894 11  4 84  1  0
 2  0      0 24494308 205836 2962860    0    0     0   940 25496 47335 12  6 80  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 24494308 205836 2962860    0    0     0   464 18667 32589  9  3 87  1  0
 2  0      0 24494308 205836 2962860    0    0     0  1220 21700 40083 10  4 86  1  0
 4  0      0 24494308 205836 2962860    0    0     0  7144 21850 38885  9  4 86  1  0
 5  0      0 24494308 205836 2962860    0    0     0   616 21698 41073 10  4 85  1  0
 3  0      0 24494308 205836 2962860    0    0     0   536 21067 39041 10  4 85  1  0
 5  0      0 24494308 205836 2962860    0    0     0   244 17809 30094  9  2 88  0  0
 1  0      0 24494308 205836 2962860    0    0     0 22584 18526 31133  4  5 90  1  0
 3  0      0 24494308 205836 2962860    0    0     0   604 17818 29231  4  4 91  1  0
 3  0      0 24494308 205836 2962860    0    0     0   844 26106 51729 12  5 80  2  0
 6  0      0 24494308 205836 2962860    0    0     0   692 21172 37291 11  3 84  1  0
 1  0      0 24494308 205836 2962860    0    0     0   620 20761 37143 10  4 85  2  0
 2  0      0 24494308 205836 2962860    0    0     0  9672 23271 43708 10  4 84  2  0
 2  0      0 24494308 205836 2962860    0    0     0   508 19460 34923 10  4 85  1  0
 9  0      0 24494308 205836 2962860    0    0     0   932 27238 55351 14  6 79  1  0
 3  0      0 24494308 205836 2962860    0    0     0   724 20444 40019 11  4 84  1  0
 2  0      0 24494308 205836 2962860    0    0     0   592 20820 37426  9  3 87  1  0
 2  0      0 24494308 205836 2962860    0    0     0   844 19432 33909  9  3 87  1  0
 2  0      0 24494308 205836 2962860    0    0     0 26452 22652 36051 10  4 85  1  0
 4  0      0 24494308 205836 2962860    0    0     0   700 23051 46108 10  5 84  1  0
 3  0      0 24494308 205836 2962860    0    0     0   644 21261 37965 12  4 84  1  0
 3  0      0 24494308 205836 2962860    0    0     0   760 23735 44295 11  5 83  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 24494308 205836 2962860    0    0     0   648 21148 37667  9  3 87  1  0
 3  0      0 24494308 205836 2962860    0    0     0  1320 18738 33771  8  3 88  1  0
 2  0      0 24494308 205836 2962860    0    0     0   792 20801 36948 10  3 86  1  0
 4  0      0 24494308 205836 2962860    0    0     0   688 19799 35403 11  3 85  1  0
 3  0      0 24494308 205836 2962860    0    0     0   680 22586 42965 11  4 85  1  0
