# started_at=2025-12-14T19:04:54+03:00
# cmd: sar -q 1
# app_pid=7559

Linux 6.1.0-35-amd64 (WL-c5bd0aca) 	12/14/2025 	_x86_64_	(12 CPU)

07:04:55 PM   runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
07:08:42 PM         2      1153      1.94      1.61      0.75         0
07:08:43 PM         3      1157      1.94      1.61      0.75         0
07:08:44 PM         3      1155      1.94      1.61      0.75         0
07:08:45 PM         2      1157      1.95      1.62      0.76         0
07:08:46 PM         5      1158      1.95      1.62      0.76         0
07:08:47 PM         2      1159      1.95      1.62      0.76         0
07:08:48 PM         1      1158      1.95      1.62      0.76         0
07:08:49 PM         4      1158      1.95      1.62      0.76         1
07:08:50 PM         3      1157      1.95      1.63      0.77         0
07:08:51 PM         1      1157      1.95      1.63      0.77         0
07:08:52 PM         1      1154      1.95      1.63      0.77         0
07:08:53 PM         3      1177      1.95      1.63      0.77         0
07:08:54 PM         3      1180      1.95      1.63      0.77         1
07:08:55 PM         4      1178      2.04      1.65      0.78         0
07:08:56 PM         1      1145      2.04      1.65      0.78         0
07:08:57 PM         3      1146      2.04      1.65      0.78         0
07:08:58 PM        12      1150      2.04      1.65      0.78         0
07:08:59 PM         3      1145      2.04      1.65      0.78         0
07:09:00 PM         6      1146      2.36      1.72      0.81         0
07:09:01 PM         1      1147      2.36      1.72      0.81         0
07:09:02 PM         2      1145      2.36      1.72      0.81         0
07:09:03 PM         4      1157      2.36      1.72      0.81         0
07:09:04 PM         3      1145      2.36      1.72      0.81         0
07:09:05 PM         2      1146      2.81      1.83      0.85         0
07:09:06 PM         2      1144      2.81      1.83      0.85         0
07:09:07 PM         2      1144      2.81      1.83      0.85         0
07:09:08 PM         2      1144      2.81      1.83      0.85         0
07:09:09 PM         3      1144      2.81      1.83      0.85         0
07:09:10 PM         2      1147      2.82      1.85      0.86         0
07:09:11 PM         4      1144      2.82      1.85      0.86         0
07:09:12 PM         2      1140      2.82      1.85      0.86         0
07:09:13 PM         1      1139      2.82      1.85      0.86         0
07:09:14 PM         2      1141      2.82      1.85      0.86         0
07:09:15 PM         3      1160      3.16      1.93      0.89         0
07:09:16 PM         3      1160      3.16      1.93      0.89         0
07:09:17 PM         2      1144      3.16      1.93      0.89         0
07:09:18 PM         2      1144      3.16      1.93      0.89         0
07:09:19 PM         2      1142      3.16      1.93      0.89         0
07:09:20 PM         5      1151      2.98      1.92      0.89         0
07:09:21 PM         4      1146      2.98      1.92      0.89         0
07:09:22 PM         2      1143      2.98      1.92      0.89         0
07:09:23 PM         2      1144      2.98      1.92      0.89         0
07:09:24 PM         3      1144      2.98      1.92      0.89         0
07:09:25 PM         2      1145      2.83      1.90      0.89         0
07:09:26 PM         2      1145      2.83      1.90      0.89         0
07:09:27 PM         2      1143      2.83      1.90      0.89         0
07:09:28 PM         2      1146      2.83      1.90      0.89         0
07:09:29 PM         6      1145      2.83      1.90      0.89         1
07:09:30 PM         2      1144      2.84      1.92      0.90         0
07:09:31 PM         3      1144      2.84      1.92      0.90         0
07:09:32 PM         2      1146      2.84      1.92      0.90         0
07:09:33 PM         3      1143      2.84      1.92      0.90         0
07:09:34 PM         2      1141      2.84      1.92      0.90         0
07:09:35 PM         4      1166      2.69      1.90      0.91         0
07:09:36 PM         2      1161      2.69      1.90      0.91         0
07:09:37 PM         3      1162      2.69      1.90      0.91         0
07:09:38 PM         2      1144      2.69      1.90      0.91         0
07:09:39 PM         3      1144      2.69      1.90      0.91         0
07:09:40 PM         3      1146      2.64      1.91      0.91         0
07:09:41 PM         1      1143      2.64      1.91      0.91         0
07:09:42 PM         3      1146      2.64      1.91      0.91         0
07:09:43 PM         2      1143      2.64      1.91      0.91         0
07:09:44 PM         2      1144      2.64      1.91      0.91         0
07:09:45 PM         2      1144      2.59      1.91      0.92         0
07:09:46 PM         4      1150      2.59      1.91      0.92         0
07:09:47 PM         2      1145      2.59      1.91      0.92         0
07:09:48 PM         2      1143      2.59      1.91      0.92         0
07:09:49 PM         2      1146      2.59      1.91      0.92         0
07:09:50 PM         1      1144      2.46      1.89      0.92         0
07:09:51 PM         2      1146      2.46      1.89      0.92         0
07:09:52 PM         2      1154      2.46      1.89      0.92         0
07:09:53 PM         2      1145      2.46      1.89      0.92         0
07:09:54 PM         1      1145      2.46      1.89      0.92         0
07:09:55 PM         4      1146      2.26      1.86      0.91         0
07:09:56 PM         3      1164      2.26      1.86      0.91         0
07:09:57 PM         3      1163      2.26      1.86      0.91         0
07:09:58 PM         3      1139      2.26      1.86      0.91         0
07:09:59 PM         4      1126      2.26      1.86      0.91         0
07:10:00 PM         4      1125      2.24      1.86      0.92         0
07:10:01 PM         4      1125      2.24      1.86      0.92         0
07:10:02 PM         2      1137      2.24      1.86      0.92         0
07:10:03 PM         4      1143      2.24      1.86      0.92         1
07:10:04 PM         4      1154      2.24      1.86      0.92         0
07:10:05 PM         3      1142      2.30      1.88      0.93         0
07:10:06 PM         3      1141      2.30      1.88      0.93         0
07:10:07 PM         3      1145      2.30      1.88      0.93         0
07:10:08 PM         3      1142      2.30      1.88      0.93         0
07:10:09 PM         2      1143      2.30      1.88      0.93         0
07:10:10 PM         2      1147      2.44      1.92      0.95         0
07:10:11 PM         3      1145      2.44      1.92      0.95         0
07:10:12 PM         2      1142      2.44      1.92      0.95         1
07:10:13 PM         3      1144      2.44      1.92      0.95         0
07:10:14 PM         6      1143      2.44      1.92      0.95         0
07:10:15 PM         4      1146      2.32      1.90      0.95         0
07:10:16 PM         2      1142      2.32      1.90      0.95         0
07:10:17 PM         5      1141      2.32      1.90      0.95         1
07:10:18 PM         1      1141      2.32      1.90      0.95         1
07:10:19 PM         2      1142      2.32      1.90      0.95         0
07:10:20 PM        16      1169      2.38      1.92      0.96         1
07:10:21 PM         2      1161      2.38      1.92      0.96         0
07:10:22 PM         8      1153      2.38      1.92      0.96         0
07:10:23 PM         2      1146      2.38      1.92      0.96         0
07:10:24 PM         2      1148      2.38      1.92      0.96         1
07:10:25 PM         1      1146      2.35      1.92      0.96         0
07:10:26 PM         1      1144      2.35      1.92      0.96         0
07:10:27 PM         1      1144      2.35      1.92      0.96         0
