# started_at=2025-12-14T19:04:55+03:00
# cmd: pidstat -d -p 7559 1
# app_pid=7559

Linux 6.1.0-35-amd64 (WL-c5bd0aca) 	12/14/2025 	_x86_64_	(12 CPU)

07:04:55 PM   UID       PID   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:07:41 PM 174209043      7559      0.00     28.00      0.00       0  app_linux_amd64
07:07:42 PM 174209043      7559      0.00     20.00      0.00       0  app_linux_amd64
07:07:43 PM 174209043      7559      0.00     20.00      0.00       0  app_linux_amd64
07:07:44 PM 174209043      7559      0.00     16.00      0.00       0  app_linux_amd64
07:07:45 PM 174209043      7559      0.00     20.00      0.00       0  app_linux_amd64
07:07:46 PM 174209043      7559      0.00     12.00      0.00       0  app_linux_amd64
07:07:47 PM 174209043      7559      0.00     36.00      0.00       0  app_linux_amd64
07:07:48 PM 174209043      7559      0.00     24.00      0.00       0  app_linux_amd64
07:07:49 PM 174209043      7559      0.00     32.00      0.00       0  app_linux_amd64
07:07:50 PM 174209043      7559      0.00     28.00      0.00       0  app_linux_amd64
07:07:51 PM 174209043      7559      0.00     28.00      0.00       0  app_linux_amd64
07:07:52 PM 174209043      7559      0.00     20.00      0.00       0  app_linux_amd64
07:07:53 PM 174209043      7559      0.00     20.00      0.00       0  app_linux_amd64
07:07:54 PM 174209043      7559      0.00     20.00      0.00       0  app_linux_amd64
07:07:55 PM 174209043      7559      0.00      8.00      0.00       0  app_linux_amd64
07:07:56 PM 174209043      7559      0.00     28.00      0.00       0  app_linux_amd64
07:07:57 PM 174209043      7559      0.00     36.00      0.00       0  app_linux_amd64
07:07:58 PM 174209043      7559      0.00     16.00      0.00       0  app_linux_amd64
07:07:59 PM 174209043      7559      0.00     20.00      0.00       0  app_linux_amd64
07:08:00 PM 174209043      7559      0.00     12.00      0.00       0  app_linux_amd64
07:08:01 PM 174209043      7559      0.00     56.00      0.00       0  app_linux_amd64
07:08:02 PM 174209043      7559      0.00     36.00      0.00       0  app_linux_amd64
07:08:03 PM 174209043      7559      0.00     40.00      0.00       0  app_linux_amd64
07:08:04 PM 174209043      7559      0.00     40.00      0.00       0  app_linux_amd64
07:08:05 PM 174209043      7559      0.00     24.00      0.00       0  app_linux_amd64
07:08:06 PM 174209043      7559      0.00     28.00      0.00       0  app_linux_amd64
07:08:07 PM 174209043      7559      0.00     24.00      0.00       0  app_linux_amd64
07:08:08 PM 174209043      7559      0.00     36.00      0.00       0  app_linux_amd64
07:08:09 PM 174209043      7559      0.00     16.00      0.00       0  app_linux_amd64
07:08:10 PM 174209043      7559      0.00     12.00      0.00       0  app_linux_amd64
07:08:11 PM 174209043      7559      0.00     44.00      0.00       0  app_linux_amd64
07:08:12 PM 174209043      7559      0.00     12.00      0.00       0  app_linux_amd64
07:08:13 PM 174209043      7559      0.00     44.00      0.00       0  app_linux_amd64
07:08:14 PM 174209043      7559      0.00     16.00      0.00       0  app_linux_amd64
07:08:15 PM 174209043      7559      0.00     24.00      0.00       0  app_linux_amd64
07:08:16 PM 174209043      7559      0.00     36.00      0.00       0  app_linux_amd64
07:08:17 PM 174209043      7559      0.00     16.00      0.00       0  app_linux_amd64
07:08:18 PM 174209043      7559      0.00     12.00      0.00       0  app_linux_amd64
07:08:19 PM 174209043      7559      0.00     20.00      0.00       0  app_linux_amd64
07:08:20 PM 174209043      7559      0.00     28.00      0.00       0  app_linux_amd64
07:08:21 PM 174209043      7559      0.00     24.00      0.00       0  app_linux_amd64
07:08:22 PM 174209043      7559      0.00     16.00      0.00       0  app_linux_amd64
07:08:23 PM 174209043      7559      0.00     24.00      0.00       0  app_linux_amd64
07:08:24 PM 174209043      7559      0.00     40.00      0.00       0  app_linux_amd64
07:08:25 PM 174209043      7559      0.00     32.00      0.00       0  app_linux_amd64
07:08:26 PM 174209043      7559      0.00     32.00      0.00       0  app_linux_amd64
07:08:27 PM 174209043      7559      0.00      8.00      0.00       0  app_linux_amd64
07:08:28 PM 174209043      7559      0.00      8.00      0.00       0  app_linux_amd64
07:08:29 PM 174209043      7559      0.00     52.00      0.00       0  app_linux_amd64
07:08:30 PM 174209043      7559      0.00     32.00      0.00       0  app_linux_amd64
07:08:31 PM 174209043      7559      0.00     32.00      0.00       0  app_linux_amd64
07:08:32 PM 174209043      7559      0.00     68.00      0.00       0  app_linux_amd64
07:08:33 PM 174209043      7559      0.00     68.00      0.00       0  app_linux_amd64
07:08:34 PM 174209043      7559      0.00     40.00      0.00       0  app_linux_amd64
07:08:35 PM 174209043      7559      0.00     36.00      0.00       0  app_linux_amd64
07:08:36 PM 174209043      7559      0.00     64.00      0.00       0  app_linux_amd64
07:08:37 PM 174209043      7559      0.00     72.00      0.00       0  app_linux_amd64
07:08:38 PM 174209043      7559      0.00     72.00      0.00       0  app_linux_amd64
07:08:39 PM 174209043      7559      0.00     56.00      0.00       0  app_linux_amd64
07:08:40 PM 174209043      7559      0.00     24.00      0.00       0  app_linux_amd64
07:08:41 PM 174209043      7559      0.00     56.00      0.00       0  app_linux_amd64
07:08:42 PM 174209043      7559      0.00     44.00      0.00       0  app_linux_amd64
07:08:43 PM 174209043      7559      0.00     80.00      0.00       0  app_linux_amd64
07:08:44 PM 174209043      7559      0.00     12.00      0.00       0  app_linux_amd64
07:08:45 PM 174209043      7559      0.00     56.00      0.00       0  app_linux_amd64
07:08:46 PM 174209043      7559      0.00     44.00      0.00       0  app_linux_amd64
07:08:47 PM 174209043      7559      0.00     40.00      0.00       0  app_linux_amd64
07:08:48 PM 174209043      7559      0.00     32.00      0.00       0  app_linux_amd64
07:08:49 PM 174209043      7559      0.00     72.00      0.00       0  app_linux_amd64
07:08:50 PM 174209043      7559      0.00     40.00      0.00       0  app_linux_amd64
07:08:51 PM 174209043      7559      0.00     56.00      0.00       0  app_linux_amd64
07:08:52 PM 174209043      7559      0.00     36.00      0.00       0  app_linux_amd64
07:08:53 PM 174209043      7559      0.00     40.00      0.00       0  app_linux_amd64
07:08:54 PM 174209043      7559      0.00     72.00      0.00       0  app_linux_amd64
07:08:55 PM 174209043      7559      0.00     40.00      0.00       0  app_linux_amd64
07:08:56 PM 174209043      7559      0.00     24.00      0.00       0  app_linux_amd64
07:08:57 PM 174209043      7559      0.00     40.00      0.00       0  app_linux_amd64
07:08:58 PM 174209043      7559      0.00     32.00      0.00       0  app_linux_amd64
07:08:59 PM 174209043      7559      0.00     40.00      0.00       0  app_linux_amd64
07:09:00 PM 174209043      7559      0.00     48.00      0.00       0  app_linux_amd64
07:09:01 PM 174209043      7559      0.00     32.00      0.00       0  app_linux_amd64
07:09:02 PM 174209043      7559      0.00     40.00      0.00       0  app_linux_amd64
07:09:03 PM 174209043      7559      0.00     56.00      0.00       0  app_linux_amd64
07:09:04 PM 174209043      7559      0.00     28.00      0.00       0  app_linux_amd64
07:09:05 PM 174209043      7559      0.00     48.00      0.00       0  app_linux_amd64
07:09:06 PM 174209043      7559      0.00     60.00      0.00       0  app_linux_amd64
07:09:07 PM 174209043      7559      0.00     52.00      0.00       0  app_linux_amd64
07:09:08 PM 174209043      7559      0.00     36.00      0.00       0  app_linux_amd64
07:09:09 PM 174209043      7559      0.00     48.00      0.00       0  app_linux_amd64
07:09:10 PM 174209043      7559      0.00     28.00      0.00       0  app_linux_amd64
07:09:11 PM 174209043      7559      0.00     40.00      0.00       0  app_linux_amd64
07:09:12 PM 174209043      7559      0.00     24.00      0.00       0  app_linux_amd64
07:09:13 PM 174209043      7559      0.00     44.00      0.00       0  app_linux_amd64
07:09:14 PM 174209043      7559      0.00     52.00      0.00       0  app_linux_amd64
07:09:15 PM 174209043      7559      0.00     28.00      0.00       0  app_linux_amd64
07:09:16 PM 174209043      7559      0.00     80.00      0.00       0  app_linux_amd64
07:09:17 PM 174209043      7559      0.00     56.00      0.00       0  app_linux_amd64
07:09:18 PM 174209043      7559      0.00     44.00      0.00       0  app_linux_amd64
07:09:19 PM 174209043      7559      0.00     56.00      0.00       0  app_linux_amd64
07:09:20 PM 174209043      7559      0.00     44.00      0.00       0  app_linux_amd64
07:09:21 PM 174209043      7559      0.00     64.00      0.00       0  app_linux_amd64
07:09:22 PM 174209043      7559      0.00     60.00      0.00       0  app_linux_amd64
07:09:23 PM 174209043      7559      0.00     44.00      0.00       0  app_linux_amd64
07:09:24 PM 174209043      7559      0.00     32.00      0.00       0  app_linux_amd64
07:09:25 PM 174209043      7559      0.00     36.00      0.00       0  app_linux_amd64
07:09:26 PM 174209043      7559      0.00     64.00      0.00       0  app_linux_amd64
07:09:27 PM 174209043      7559      0.00     32.00      0.00       0  app_linux_amd64
07:09:28 PM 174209043      7559      0.00     76.00      0.00       0  app_linux_amd64
07:09:29 PM 174209043      7559      0.00     48.00      0.00       0  app_linux_amd64
07:09:30 PM 174209043      7559      0.00     80.00      0.00       0  app_linux_amd64
07:09:31 PM 174209043      7559      0.00     60.00      0.00       0  app_linux_amd64
07:09:32 PM 174209043      7559      0.00     56.00      0.00       0  app_linux_amd64
07:09:33 PM 174209043      7559      0.00     44.00      0.00       0  app_linux_amd64
07:09:34 PM 174209043      7559      0.00     40.00      0.00       0  app_linux_amd64
07:09:35 PM 174209043      7559      0.00     24.00      0.00       0  app_linux_amd64
07:09:36 PM 174209043      7559      0.00     44.00      0.00       0  app_linux_amd64
07:09:37 PM 174209043      7559      0.00     56.00      0.00       0  app_linux_amd64
07:09:38 PM 174209043      7559      0.00     72.00      0.00       0  app_linux_amd64
07:09:39 PM 174209043      7559      0.00     68.00      0.00       0  app_linux_amd64
07:09:40 PM 174209043      7559      0.00     56.00      0.00       0  app_linux_amd64
07:09:41 PM 174209043      7559      0.00     36.00      0.00       0  app_linux_amd64
07:09:42 PM 174209043      7559      0.00     48.00      0.00       0  app_linux_amd64
07:09:43 PM 174209043      7559      0.00     36.00      0.00       0  app_linux_amd64
07:09:44 PM 174209043      7559      0.00     40.00      0.00       0  app_linux_amd64
07:09:45 PM 174209043      7559      0.00     32.00      0.00       0  app_linux_amd64
07:09:46 PM 174209043      7559      0.00     64.00      0.00       0  app_linux_amd64
07:09:47 PM 174209043      7559      0.00     56.00      0.00       0  app_linux_amd64
07:09:48 PM 174209043      7559      0.00     36.00      0.00       0  app_linux_amd64
07:09:49 PM 174209043      7559      0.00     76.00      0.00       0  app_linux_amd64
07:09:50 PM 174209043      7559      0.00     52.00      0.00       0  app_linux_amd64
07:09:51 PM 174209043      7559      0.00     52.00      0.00       0  app_linux_amd64
07:09:52 PM 174209043      7559      0.00     28.00      0.00       0  app_linux_amd64
07:09:53 PM 174209043      7559      0.00     52.00      0.00       0  app_linux_amd64
07:09:54 PM 174209043      7559      0.00     60.00      0.00       0  app_linux_amd64
07:09:55 PM 174209043      7559      0.00     52.00      0.00       0  app_linux_amd64
07:09:56 PM 174209043      7559      0.00     44.00      0.00       0  app_linux_amd64
07:09:57 PM 174209043      7559      0.00     56.00      0.00       0  app_linux_amd64
07:09:58 PM 174209043      7559      0.00     28.00      0.00       0  app_linux_amd64
07:09:59 PM 174209043      7559      0.00      8.00      0.00       0  app_linux_amd64
07:10:00 PM 174209043      7559      0.00     16.00      0.00       0  app_linux_amd64
07:10:01 PM 174209043      7559      0.00      4.00      0.00       0  app_linux_amd64
07:10:02 PM 174209043      7559      0.00     36.00      0.00       0  app_linux_amd64
07:10:03 PM 174209043      7559      0.00    108.00      0.00       0  app_linux_amd64
07:10:04 PM 174209043      7559      0.00    108.00      0.00       0  app_linux_amd64
07:10:05 PM 174209043      7559      0.00     64.00      0.00       0  app_linux_amd64
07:10:06 PM 174209043      7559      0.00     56.00      0.00       0  app_linux_amd64
07:10:07 PM 174209043      7559      0.00     92.00      0.00       0  app_linux_amd64
07:10:08 PM 174209043      7559      0.00     92.00      0.00       0  app_linux_amd64
07:10:09 PM 174209043      7559      0.00     64.00      0.00       0  app_linux_amd64
07:10:10 PM 174209043      7559      0.00    128.00      0.00       0  app_linux_amd64
07:10:11 PM 174209043      7559      0.00    100.00      0.00       0  app_linux_amd64
07:10:12 PM 174209043      7559      0.00     88.00      0.00       0  app_linux_amd64
07:10:13 PM 174209043      7559      0.00     64.00      0.00       0  app_linux_amd64
07:10:14 PM 174209043      7559      0.00    100.00      0.00       0  app_linux_amd64
07:10:15 PM 174209043      7559      0.00     72.00      0.00       0  app_linux_amd64
07:10:16 PM 174209043      7559      0.00    100.00      0.00       0  app_linux_amd64
07:10:17 PM 174209043      7559      0.00     80.00      0.00       0  app_linux_amd64
07:10:18 PM 174209043      7559      0.00     84.00      0.00       0  app_linux_amd64
07:10:19 PM 174209043      7559      0.00     36.00      0.00       0  app_linux_amd64
07:10:20 PM 174209043      7559      0.00    108.00      0.00       0  app_linux_amd64
07:10:21 PM 174209043      7559      0.00    104.00      0.00       0  app_linux_amd64
07:10:22 PM 174209043      7559      0.00     92.00      0.00       0  app_linux_amd64
07:10:23 PM 174209043      7559      0.00    104.00      0.00       0  app_linux_amd64
07:10:24 PM 174209043      7559      0.00     84.00      0.00       0  app_linux_amd64
07:10:25 PM 174209043      7559      0.00    128.00      0.00       0  app_linux_amd64
07:10:26 PM 174209043      7559      0.00    120.00      0.00       0  app_linux_amd64
07:10:27 PM 174209043      7559      0.00     56.00      0.00       0  app_linux_amd64
07:10:28 PM 174209043      7559      0.00     80.00      0.00       0  app_linux_amd64
07:10:29 PM 174209043      7559      0.00     84.00      0.00       0  app_linux_amd64
07:10:30 PM 174209043      7559      0.00     72.00      0.00       0  app_linux_amd64
