# started_at=2025-12-14T19:04:55+03:00
# /proc/softirqs snapshots

### ts=2025-12-14T19:04:55+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
       TIMER:       3212       3260       2569       2407       2387       1915       2775       1477       2918       2215       2751       2738          0          0          0          0
      NET_TX:          0          1          0          1          3          2          1          1          0          0          0          0          0          0          0          0
      NET_RX:        291        204        152        215        202        157       2566        283        227        149        185        154          0          0          0          0
       BLOCK:          0          0          0         30          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:          8          1          1          5         25          8         99       5847          4        142        205        961          0          0          0          0
       SCHED:      31670      33674      29219      29189      28377      27886      27775      25963      27912      25087      28267      26016          0          0          0          0
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:      31439      28056      33023      26037      31331      27324      32092      26489      30637      28165      30205      24965          0          0          0          0

### ts=2025-12-14T19:06:00+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
          HI:          1          0          0          0          2          0          2        117          0          1         25         35          0          0          0          0
       TIMER:       3254       3339       2601       2475       2478       1985       2859       1558       3089       2358       2832       2770          0          0          0          0
      NET_TX:          0          1          0          1          3          2          1          1          0          0          0          0          0          0          0          0
      NET_RX:        291        204        152        215        203        157       2582        284        227        149        186        154          0          0          0          0
       BLOCK:          0          0          0         30          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:          8          1          1          5         25          8         99       5847          4        142        205        975          0          0          0          0
       SCHED:      32787      34942      30329      30395      29572      29141      28901      26728      28986      26123      29334      27089          0          0          0          0
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:      32585      28943      34312      26805      32419      28633      33147      27204      31664      28881      31596      25841          0          0          0          0

### ts=2025-12-14T19:06:05+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
          HI:          1          0          0          0          2          0          2        117          0          1         25         35          0          0          0          0
       TIMER:       3342       3423       2730       2540       2572       2033       2958       1604       3217       2447       2947       2872          0          0          0          0
      NET_TX:          0          1          0          1          3          2          1          1          0          0          0          0          0          0          0          0
      NET_RX:        294        209        152        216        208        157       2646        292        230        149        192        154          0          0          0          0
       BLOCK:          0          0          0         30          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:          8          1          1          5         25          8         99       5847          4        142        205        996          0          0          0          0
       SCHED:      33936      36164      31664      31483      30747      30467      30093      27705      30106      27259      30476      28192          0          0          0          0
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:      33837      29945      35565      28202      33860      30539      34461      28787      33213      29916      32694      26854          0          0          0          0

### ts=2025-12-14T19:06:10+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
          HI:          1          0          0          0          2          0          2        117          0          1         25         35          0          0          0          0
       TIMER:       3489       3538       2782       2579       2656       2132       3056       1670       3376       2492       3058       2909          0          0          0          0
      NET_TX:          0          1          0          1          3          2          1          1          0          0          0          0          0          0          0          0
      NET_RX:        296        212        154        216        209        159       2699        295        230        149        196        156          0          0          0          0
       BLOCK:          0          0          0         30          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:          8          1          1          5         25          8         99       5847          4        142        205       1010          0          0          0          0
       SCHED:      35125      37463      32855      32513      31886      31625      31158      28947      31260      28436      31469      29269          0          0          0          0
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:      35465      30776      37040      29596      35641      31877      35823      29796      34552      30741      34009      27944          0          0          0          0

### ts=2025-12-14T19:06:15+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
          HI:          1          3          0          0          2          0          2        118          0          1         25         36          0          0          0          0
       TIMER:       3598       3659       2894       2651       2733       2203       3211       1745       3527       2555       3145       2950          0          0          0          0
      NET_TX:          0          1          0          1          3          2          1          1          0          0          0          0          0          0          0          0
      NET_RX:        296        213        183        216        211        159       2757        299        231        149        196        156          0          0          0          0
       BLOCK:          0          0          0         30          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:          8         16          1          5         25          8        102       5853          4        148        205       1041          0          0          0          0
       SCHED:      36385      38714      34076      33593      32941      32716      32273      29893      32405      29542      32514      30262          0          0          0          0
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:      37354      32072      38317      30838      37296      33085      37045      30932      35594      32147      34976      28811          0          0          0          0

### ts=2025-12-14T19:06:20+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
          HI:          1          3          0          0          2          0          2        119          0          1         25         36          0          0          0          0
       TIMER:       3781       3750       2931       2675       2844       2233       3268       1780       3648       2787       3168       2980          0          0          0          0
      NET_TX:          0          1          0          1          3          2          1          1          0          0          0          0          0          0          0          0
      NET_RX:        296        213        183        216        211        160       2788        302        231        150        196        157          0          0          0          0
       BLOCK:          0          0          0         30          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:          8         18          1          5         25          8        102       5856          4        148        205       1055          0          0          0          0
       SCHED:      37586      40058      35101      34849      34051      33651      33324      30941      33541      30607      33531      31086          0          0          0          0
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:      38405      33034      39227      31726      38911      34059      38271      31809      36676      32941      36020      29575          0          0          0          0

### ts=2025-12-14T19:06:25+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
          HI:          1          3          0          0          2          0          2        119          0          1         25         36          0          0          0          0
       TIMER:       3922       3827       3007       2734       2948       2314       3372       1806       3717       2811       3196       3156          0          0          0          0
      NET_TX:          0          1          0          1          3          2          1          1          0          0          0          0          0          0          0          0
      NET_RX:        301        214        187        216        216        160       2830        306        232        151        197        158          0          0          0          0
       BLOCK:          0          0          0         30          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:          8         18          1          5         25          8        102       5856          4        148        205       1076          0          0          0          0
       SCHED:      38718      41436      36141      36043      35180      34622      34364      31995      34629      31645      34571      32037          0          0          0          0
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:      39707      33976      40781      32758      39847      34730      39676      32827      38176      33887      37340      30439          0          0          0          0

### ts=2025-12-14T19:06:30+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
          HI:          1          3          0          0          2          0          2        119          0          1         25         36          0          0          0          0
       TIMER:       4052       3946       3193       2858       3103       2399       3586       1854       3868       2896       3332       3289          0          0          0          0
      NET_TX:          0          1          0          1          3          2          1          1          0          0          0          0          0          0          0          0
      NET_RX:        416        300        355        233        321        221       2993        368        400        223        323        291          0          0          0          0
       BLOCK:          0          0          0         30          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:          8         18          1          5         25          8        102       5856          4        148        205       1090          0          0          0          0
       SCHED:      39767      42513      37302      37306      36264      35891      35442      33156      35782      32793      35685      33162          0          0          0          0
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:      41024      35096      42154      33604      41593      35716      41633      33854      39461      35491      39126      31770          0          0          0          0

### ts=2025-12-14T19:06:35+03:00
