# started_at=2025-12-14T19:04:54+03:00
# cmd: mpstat -P ALL 1
# app_pid=7559

Linux 6.1.0-35-amd64 (WL-c5bd0aca) 	12/14/2025 	_x86_64_	(12 CPU)

07:04:54 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:05:11 PM    3   11.11    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   83.84
07:05:11 PM    4   24.49    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   71.43
07:05:11 PM    5   16.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   79.00
07:05:11 PM    6   16.33    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   81.63
07:05:11 PM    7   43.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   56.00
07:05:11 PM    8    8.08    0.00    3.03    1.01    0.00    0.00    0.00    0.00    0.00   87.88
07:05:11 PM    9   12.12    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   83.84
07:05:11 PM   10    8.08    0.00    3.03    1.01    0.00    0.00    0.00    0.00    0.00   87.88
07:05:11 PM   11    7.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   86.00

07:05:11 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:05:12 PM  all    8.75    0.00    3.33    0.33    0.00    0.58    0.00    0.00    0.00   87.00
07:05:12 PM    0    3.06    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   94.90
07:05:12 PM    1    2.97    0.00    1.98    0.99    0.00    0.00    0.00    0.00    0.00   94.06
07:05:12 PM    2    1.89    0.00    6.60    0.00    0.00    6.60    0.00    0.00    0.00   84.91
07:05:12 PM    3    2.02    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   93.94
07:05:12 PM    4    4.95    0.00    3.96    0.00    0.00    0.00    0.00    0.00    0.00   91.09
07:05:12 PM    5   11.11    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   84.85
07:05:12 PM    6    6.93    0.00    4.95    0.00    0.00    0.00    0.00    0.00    0.00   88.12
07:05:12 PM    7   63.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   34.00
07:05:12 PM    8    2.04    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   93.88
07:05:12 PM    9    4.04    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   92.93
07:05:12 PM   10    1.02    0.00    1.02    1.02    0.00    0.00    0.00    0.00    0.00   96.94
07:05:12 PM   11    2.00    0.00    1.00    2.00    0.00    0.00    0.00    0.00    0.00   95.00

07:05:12 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:05:13 PM  all    7.87    0.00    3.56    0.41    0.00    1.16    0.00    0.00    0.00   86.99
07:05:13 PM    0    2.91    0.00    2.91    0.00    0.00    1.94    0.00    0.00    0.00   92.23
07:05:13 PM    1    2.78    0.00    0.93    0.00    0.00    6.48    0.00    0.00    0.00   89.81
07:05:13 PM    2    5.10    0.00    7.14    0.00    0.00    0.00    0.00    0.00    0.00   87.76
07:05:13 PM    3    2.94    0.00    1.96    1.96    0.00    0.00    0.00    0.00    0.00   93.14
07:05:13 PM    4   35.35    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   60.61
07:05:13 PM    5    3.03    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   90.91
07:05:13 PM    6    6.12    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   91.84
