# started_at=2025-12-14T01:53:18+03:00
# cmd: mpstat -P ALL 1
# app_pid=1101786

Linux 6.1.0-35-amd64 (WL-c5bd0aca) 	12/14/2025 	_x86_64_	(12 CPU)

01:53:18 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:53:34 AM    5   39.60    0.00   12.87    0.00    0.00    0.00    0.00    0.00    0.00   47.52
01:53:34 AM    6   43.43    0.00   19.19    0.00    0.00    0.00    0.00    0.00    0.00   37.37
01:53:34 AM    7   43.69    0.00   14.56    0.97    0.00    0.00    0.00    0.00    0.00   40.78
01:53:34 AM    8   82.35    0.00    4.90    0.00    0.00    0.00    0.00    0.00    0.00   12.75
01:53:34 AM    9   49.49    0.00    7.07    0.00    0.00    0.00    0.00    0.00    0.00   43.43
01:53:34 AM   10   36.36    0.00   28.28    0.00    0.00    0.00    0.00    0.00    0.00   35.35
01:53:34 AM   11   39.39    0.00    8.08    0.00    0.00    0.00    0.00    0.00    0.00   52.53

01:53:34 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:53:35 AM  all   45.96    0.00    7.83    0.25    0.00    0.00    0.00    0.00    0.00   45.96
01:53:35 AM    0   60.61    0.00    8.08    1.01    0.00    0.00    0.00    0.00    0.00   30.30
01:53:35 AM    1   49.50    0.00    3.96    0.99    0.00    0.00    0.00    0.00    0.00   45.54
01:53:35 AM    2   43.43    0.00    8.08    0.00    0.00    0.00    0.00    0.00    0.00   48.48
01:53:35 AM    3   41.00    0.00   13.00    0.00    0.00    0.00    0.00    0.00    0.00   46.00
01:53:35 AM    4   43.00    0.00    9.00    0.00    0.00    0.00    0.00    0.00    0.00   48.00
01:53:35 AM    5   38.00    0.00    8.00    1.00    0.00    0.00    0.00    0.00    0.00   53.00
01:53:35 AM    6   39.39    0.00    9.09    0.00    0.00    0.00    0.00    0.00    0.00   51.52
01:53:35 AM    7   24.24    0.00   10.10    0.00    0.00    0.00    0.00    0.00    0.00   65.66
01:53:35 AM    8   56.70    0.00    5.15    0.00    0.00    0.00    0.00    0.00    0.00   38.14
01:53:35 AM    9   86.14    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   11.88
01:53:35 AM   10   35.42    0.00    4.17    0.00    0.00    0.00    0.00    0.00    0.00   60.42
01:53:35 AM   11   32.99    0.00   13.40    0.00    0.00    0.00    0.00    0.00    0.00   53.61

01:53:35 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:53:36 AM  all   26.09    0.08   14.43    0.76    0.00    0.08    0.00    0.00    0.00   58.56
01:53:36 AM    0    7.07    0.00    8.08    0.00    0.00    0.00    0.00    0.00    0.00   84.85
01:53:36 AM    1   84.00    0.00   13.00    0.00    0.00    0.00    0.00    0.00    0.00    3.00
01:53:36 AM    2   12.24    1.02   16.33    0.00    0.00    0.00    0.00    0.00    0.00   70.41
01:53:36 AM    3    9.09    0.00   20.20    1.01    0.00    1.01    0.00    0.00    0.00   68.69
01:53:36 AM    4   47.47    0.00    6.06    2.02    0.00    0.00    0.00    0.00    0.00   44.44
01:53:36 AM    5   25.25    0.00   16.16    0.00    0.00    0.00    0.00    0.00    0.00   58.59
01:53:36 AM    6    6.12    0.00   17.35    0.00    0.00    0.00    0.00    0.00    0.00   76.53
01:53:36 AM    7   32.67    0.00   11.88    0.99    0.00    0.00    0.00    0.00    0.00   54.46
01:53:36 AM    8   41.58    0.00    8.91    0.99    0.00    0.00    0.00    0.00    0.00   48.51
01:53:36 AM    9   17.71    0.00   10.42    1.04    0.00    0.00    0.00    0.00    0.00   70.83
01:53:36 AM   10   17.82    0.00   17.82    1.98    0.00    0.00    0.00    0.00    0.00   62.38
01:53:36 AM   11   10.89    0.00   26.73    0.99    0.00    0.00    0.00    0.00    0.00   61.39

01:53:36 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:53:37 AM  all   33.75    0.00   13.12    0.42    0.00    0.00    0.00    0.00    0.00   52.72
01:53:37 AM    0   47.42    0.00   10.31    0.00    0.00    0.00    0.00    0.00    0.00   42.27
01:53:37 AM    1   48.48    0.00    9.09    0.00    0.00    0.00    0.00    0.00    0.00   42.42
01:53:37 AM    2   18.00    0.00   18.00    1.00    0.00    0.00    0.00    0.00    0.00   63.00
01:53:37 AM    3   33.66    0.00    7.92    0.99    0.00    0.00    0.00    0.00    0.00   57.43
01:53:37 AM    4   30.39    0.00   10.78    0.00    0.00    0.00    0.00    0.00    0.00   58.82
01:53:37 AM    5   26.73    0.00   16.83    0.99    0.00    0.00    0.00    0.00    0.00   55.45
01:53:37 AM    6   18.18    0.00   12.12    1.01    0.00    0.00    0.00    0.00    0.00   68.69
