# started_at=2025-12-14T01:53:18+03:00
# cmd: sar -q 1
# app_pid=1101786

Linux 6.1.0-35-amd64 (WL-c5bd0aca) 	12/14/2025 	_x86_64_	(12 CPU)

01:53:18 AM   runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
01:59:25 AM        27      1775      8.16      6.84      5.43         1
01:59:26 AM         5      1770      8.16      6.84      5.43         1
01:59:27 AM         5      1770      8.16      6.84      5.43         1
01:59:28 AM        10      1773      8.16      6.84      5.43         1
01:59:29 AM         6      1765      7.91      6.81      5.43         0
01:59:30 AM         1      1760      7.91      6.81      5.43         0
01:59:31 AM         7      1763      7.91      6.81      5.43         0
01:59:32 AM         3      1761      7.91      6.81      5.43         0
01:59:33 AM         4      1789      7.91      6.81      5.43         0
01:59:34 AM         5      1781      8.16      6.88      5.46         0
01:59:35 AM         6      1788      8.16      6.88      5.46         1
01:59:36 AM        14      1768      8.16      6.88      5.46         0
01:59:37 AM        11      1765      8.16      6.88      5.46         0
01:59:38 AM        17      1775      8.16      6.88      5.46         0
01:59:39 AM        20      1771      7.66      6.80      5.44         0
01:59:40 AM        18      1766      7.66      6.80      5.44         0
01:59:41 AM         4      1765      7.66      6.80      5.44         0
01:59:42 AM         8      1771      7.66      6.80      5.44         0
01:59:43 AM         5      1771      7.66      6.80      5.44         0
01:59:44 AM         3      1765      8.49      6.99      5.51         0
01:59:45 AM         8      1768      8.49      6.99      5.51         0
01:59:46 AM         4      1760      8.49      6.99      5.51         0
01:59:47 AM        13      1761      8.49      6.99      5.51         0
01:59:48 AM         9      1762      8.49      6.99      5.51         0
01:59:49 AM         4      1764      8.13      6.94      5.50         0
01:59:50 AM         3      1764      8.13      6.94      5.50         0
01:59:51 AM         6      1765      8.13      6.94      5.50         0
01:59:52 AM         5      1762      8.13      6.94      5.50         1
01:59:53 AM        15      1764      8.13      6.94      5.50         0
01:59:54 AM         5      1764      7.72      6.87      5.48         0
01:59:55 AM        14      1767      7.72      6.87      5.48         0
01:59:56 AM        21      1765      7.72      6.87      5.48         0
01:59:57 AM        16      1763      7.72      6.87      5.48         0
01:59:58 AM         3      1753      7.72      6.87      5.48         0
01:59:59 AM         5      1755      8.78      7.11      5.57         0
02:00:00 AM         6      1775      8.78      7.11      5.57         1
02:00:01 AM        12      1793      8.78      7.11      5.57         0
02:00:02 AM        10      1800      8.78      7.11      5.57         0
02:00:03 AM         5      1788      8.78      7.11      5.57         0
02:00:04 AM         3      1781      8.32      7.04      5.55         0
02:00:05 AM         3      1768      8.32      7.04      5.55         0
02:00:06 AM         4      1766      8.32      7.04      5.55         0
02:00:07 AM         7      1765      8.32      7.04      5.55         1
02:00:08 AM         4      1765      8.32      7.04      5.55         0
02:00:09 AM         4      1767      8.21      7.04      5.56         0
02:00:10 AM        12      1765      8.21      7.04      5.56         0
02:00:11 AM        11      1764      8.21      7.04      5.56         0
02:00:12 AM         4      1764      8.21      7.04      5.56         0
02:00:13 AM        19      1767      8.21      7.04      5.56         0
02:00:14 AM        19      1765      7.72      6.95      5.54         0
02:00:15 AM        20      1795      7.72      6.95      5.54         0
02:00:16 AM        21      1784      7.72      6.95      5.54         0
02:00:17 AM         3      1768      7.72      6.95      5.54         1
02:00:18 AM        14      1759      7.72      6.95      5.54         0
02:00:19 AM        11      1761      7.42      6.90      5.53         0
02:00:20 AM         8      1754      7.42      6.90      5.53         0
02:00:21 AM         4      1754      7.42      6.90      5.53         0
02:00:22 AM         3      1755      7.42      6.90      5.53         0
02:00:23 AM        11      1770      7.42      6.90      5.53         0
02:00:24 AM        13      1755      7.22      6.87      5.53         0
02:00:25 AM         5      1756      7.22      6.87      5.53         0
02:00:26 AM         9      1757      7.22      6.87      5.53         0
02:00:27 AM        11      1755      7.22      6.87      5.53         0
02:00:28 AM        16      1756      7.22      6.87      5.53         0
02:00:29 AM        12      1757      7.13      6.86      5.53         0
02:00:30 AM         6      1757      7.13      6.86      5.53         0
02:00:31 AM         5      1754      7.13      6.86      5.53         0
02:00:32 AM         7      1755      7.13      6.86      5.53         0
02:00:33 AM         6      1753      7.13      6.86      5.53         0
02:00:34 AM         7      1757      6.96      6.83      5.53         0
02:00:35 AM         5      1753      6.96      6.83      5.53         0
02:00:36 AM         6      1753      6.96      6.83      5.53         1
02:00:37 AM         7      1755      6.96      6.83      5.53         0
02:00:38 AM         7      1755      6.96      6.83      5.53         0
02:00:39 AM         8      1785      7.44      6.93      5.57         0
02:00:40 AM         5      1777      7.44      6.93      5.57         0
02:00:41 AM         5      1773      7.44      6.93      5.57         0
02:00:42 AM        26      1767      7.44      6.93      5.57         1
02:00:43 AM         6      1758      7.44      6.93      5.57         1
02:00:44 AM         3      1758      7.08      6.86      5.56         0
