# started_at=2025-12-14T01:53:18+03:00
# cmd: pidstat -w -t -p 1101786 1
# app_pid=1101786

Linux 6.1.0-35-amd64 (WL-c5bd0aca) 	12/14/2025 	_x86_64_	(12 CPU)

01:53:18 AM   UID      TGID       TID   cswch/s nvcswch/s  Command
01:53:49 AM 174209043         -   1101786      0.00      0.00  |__app_linux_amd64
01:53:49 AM 174209043         -   1101788     28.00      1.00  |__app_linux_amd64
01:53:49 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:53:49 AM 174209043         -   1101791     23.00      2.00  |__app_linux_amd64
01:53:49 AM 174209043         -   1101792     26.00      1.00  |__app_linux_amd64
01:53:50 AM 174209043   1101786         -      0.00      0.00  app_linux_amd64
01:53:50 AM 174209043         -   1101786      0.00      0.00  |__app_linux_amd64
01:53:50 AM 174209043         -   1101788     26.00      0.00  |__app_linux_amd64
01:53:50 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:53:50 AM 174209043         -   1101791     32.00      0.00  |__app_linux_amd64
01:53:50 AM 174209043         -   1101792     26.00      0.00  |__app_linux_amd64
01:53:51 AM 174209043   1101786         -      0.00      0.00  app_linux_amd64
01:53:51 AM 174209043         -   1101786      0.00      0.00  |__app_linux_amd64
01:53:51 AM 174209043         -   1101788     27.00      2.00  |__app_linux_amd64
01:53:51 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:53:51 AM 174209043         -   1101791     27.00      2.00  |__app_linux_amd64
01:53:51 AM 174209043         -   1101792     26.00      2.00  |__app_linux_amd64
01:53:52 AM 174209043   1101786         -      1.00      0.00  app_linux_amd64
01:53:52 AM 174209043         -   1101786      1.00      0.00  |__app_linux_amd64
01:53:52 AM 174209043         -   1101788     84.00      0.00  |__app_linux_amd64
01:53:52 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:53:52 AM 174209043         -   1101791     25.00      0.00  |__app_linux_amd64
01:53:52 AM 174209043         -   1101792     21.00      3.00  |__app_linux_amd64
01:53:53 AM 174209043   1101786         -      0.00      0.00  app_linux_amd64
01:53:53 AM 174209043         -   1101786      0.00      0.00  |__app_linux_amd64
01:53:53 AM 174209043         -   1101788     22.00      0.00  |__app_linux_amd64
01:53:53 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:53:53 AM 174209043         -   1101791     20.00      1.00  |__app_linux_amd64
01:53:53 AM 174209043         -   1101792     22.00      2.00  |__app_linux_amd64
